Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
10000000;3,141448;429ms;1;0;-0,000046
10000000;3,141446;502ms;1;0;-0,000047
10000000;3,141552;549ms;1;0;-0,000013
10000000;3,141705;546ms;1;0;0,000036
10000000;3,141584;556ms;1;0;-0,000003
10000000;3,140865;226ms;2;0;-0,000232
10000000;3,141740;228ms;2;0;0,000047
10000000;3,141190;224ms;2;0;-0,000128
10000000;3,141796;226ms;2;0;0,000065
10000000;3,141584;252ms;2;0;-0,000003
10000000;3,141298;215ms;4;0;-0,000094
10000000;3,141538;231ms;4;0;-0,000018
10000000;3,141510;184ms;4;0;-0,000026
10000000;3,141163;184ms;4;0;-0,000137
10000000;3,142108;186ms;4;0;0,000164
10000000;3,141216;141ms;8;0;-0,000120
10000000;3,142458;80ms;8;0;0,000275
10000000;3,140981;108ms;8;0;-0,000195
10000000;3,141428;105ms;8;0;-0,000052
10000000;3,141645;84ms;8;0;0,000017
10000000;3,142290;161ms;16;0;0,000222
10000000;3,141483;129ms;16;0;-0,000035
10000000;3,140577;118ms;16;0;-0,000323
10000000;3,141589;114ms;16;0;-0,000001
10000000;3,141389;133ms;16;0;-0,000065
